|Material|Texto breve                             | Item|Doc.compra|Preço líq.|
|845559  |RETEN 45MM 75MM 8MM NBR                 |   10|4600176606|    10,79 |
|11776   |RETENTOR 61103503 VEMAG                 |   30|4600176606|    39,36 |
|563099  |RETEN 35MM 52,1MM 10MM NBR              |   50|4600176606|     5,00 |
|4294    |RETEN 75MM 95,1MM 13MM NBR              |   60|4600176606|     7,34 |
|1492    |RETEN 90MM 110,10MM 13MM NBR            |   70|4600176606|    12,85 |
|808121  |RETEN 35MM 52MM 12MM NBR                |   80|4600176606|     6,18 |
|617806  |RETEN 35MM 47MM 7MM NBR                 |   90|4600176606|     4,20 |
|10513   |RETEN 100MM 150MM 13MM NBR              |  110|4600176606|    24,75 |
|45186   |ELEMENTO ELAST ACOPLAMENTO E128         |  120|4600176606|    23,50 |
|658189  |RETEN 58MM 72MM 8MM NBR                 |  140|4600176606|    14,80 |
|1722    |RETEN 30MM 42MM 10MM NBR                |  160|4600176606|     4,72 |
|7974    |RETEN 75MM 105MM 13MM NBR               |  180|4600176606|    11,52 |
|615161  |RETEN 55MM 80MM 10MM NBR                |  190|4600176606|     9,08 |
|615498  |RETEN 45MM 60MM 9MM NBR                 |  200|4600176606|    12,31 |
|615439  |RETEN 40MM 68MM 12MM NBR                |  210|4600176606|     7,34 |
|30400   |RETEN 35MM 50MM 8MM NBR                 |  220|4600176606|     5,51 |
|913693  |RETEN 45MM 62MM 8MM NBR                 |  240|4600176606|     5,52 |
|13574   |RETEN 50MM 90MM 10MM NBR                |  260|4600176606|    10,52 |
|35396   |RETENTOR 487001 RISCO                   |  270|4600176606|     3,94 |
|48434   |RETEN 75MM 110MM 13MM NBR               |  280|4600176606|    12,60 |
|1493    |RETEN 55MM 72MM 10MM NBR                |  310|4600176606|     5,40 |
|798010  |RETEN 45MM 85MM 13MM NBR                |  330|4600176606|    14,08 |
|38077   |RETEN 70MM 100MM 12MM NBR               |  340|4600176606|    13,39 |
|35153   |RETEN 53,8MM 77,7MM 12,7MM NBR          |  350|4600176606|     8,81 |
|816870  |RETEN 30MM 42MM 6MM NBR                 |  360|4600176606|     3,33 |
|902294  |RETEN 40MM 62MM 10MM NBR                |  370|4600176606|     5,92 |
|616125  |RETEN 50MM 72MM 10MM NBR                |  380|4600176606|     6,82 |
|609544  |RETEN 40MM 62MM 8MM FKM                 |  390|4600176606|     5,78 |
|849574  |RETEN 85MM 140MM 12MM NBR               |  410|4600176606|    16,53 |
|621374  |RETEN 60MM 85MM 12,7MM NBR              |  420|4600176606|    12,60 |
|70157   |RETEN 60MM 80MM 12MM NBR                |  440|4600176606|     6,18 |
|171093  |RETENTOR 105MM 130MM 13MM NBR           |  490|4600176606|    13,68 |
|832543  |RETEN 45MM 72MM 10MM NBR                |  500|4600176606|     5,92 |
|930297  |RETEN 40MM 62MM 10MM NBR                |  520|4600176606|     5,92 |
|4826    |RETEN 40MM 57MM 12MM NBR                |  530|4600176606|     5,78 |
|831328  |RETEN 90MM 110MM 8MM NBR                |  540|4600176606|     9,47 |
|843555  |RETEN 70MM 110MM 12MM NBR               |  560|4600176606|    12,62 |
|10506   |RETEN 40MM 56MM 10MM NBR                |  570|4600176606|     6,17 |
|42975   |RETEN 95MM 120MM 12MM NBR               |  580|4600176606|    16,93 |
|625515  |RETEN 40MM 52MM 9MM NBR                 |  590|4600176606|     4,74 |
|16631   |RETENTOR 95MM 125MM 13MM NBR            |  610|4600176606|    14,08 |
|814450  |RETEN 70MM 90MM 10MM SILIC              |  620|4600176606|     8,44 |
|38879   |RETEN 60MM 80MM 10MM NBR                |  650|4600176606|     6,17 |
|888154  |RETEN 49,2MM 80,9MM 11MM NBR            |  660|4600176606|     9,08 |
|1619    |RETEN 38MM 52,30MM 7MM NBR              |  670|4600176606|     5,27 |
|49548   |RETEN 45MM 62MM 9MM NBR                 |  680|4600176606|     8,53 |
